numero;categoria;tema;question;answer1;answer2;answer3;answer4;solution;feedback
1;Conocimientos Generales;Carta de las Naciones Unidas;De los siguientes, ¿cuál NO es uno de los Consejos que se establecen como órganos principales de las Naciones Unidas?;El Consejo de Administración Fiduciaria;El Consejo Económico y Social;El Consejo Internacional de Justicia;El Consejo de Seguridad;3;La respuesta correcta es la c, ya que el órgano judicial principal de la ONU se denomina oficialmente Corte Internacional de Justicia. Las opciones a, b y d se descartan como respuesta a la pregunta 'cuál NO es', puesto que el Consejo de Administración Fiduciaria, el Consejo Económico y Social y el Consejo de Seguridad son efectivamente los tres consejos definidos como órganos principales en la Carta.
2;Conocimientos Generales;Declaración Universal de Derechos Humanos;Señale la proposición INCORRECTA.;Toda persona tiene derecho a un recurso efectivo ante los tribunales nacionales competentes;Toda persona tiene derecho a los seguros en caso de desempleo u otros casos de pérdida de sus medios de subsistencia por cualquier circunstancia;Toda persona tiene el derecho de acceso, en condiciones de igualdad, a las funciones públicas de su país;Toda persona tiene deberes respecto a la comunidad;2;La respuesta correcta es la b, puesto que la proposición es incorrecta al afirmar que el derecho a seguros cubre la pérdida de medios de subsistencia por 'cualquier circunstancia'. El Artículo 25 de la Declaración Universal especifica que este derecho se activa en casos de pérdida por circunstancias independientes de la voluntad del individuo. Las opciones a, c y d son afirmaciones correctas según el texto de la Declaración.
3;Conocimientos Generales;Convenio protección derechos humanos - TEDH;Motivación de las sentencias y de las resoluciones. Señale la opción CORRECTA.;Las sentencias, así como las resoluciones por las que las demandas se declaren admisibles o no admisibles, serán motivadas;Las resoluciones por las que las demandas se declaren no admisibles, no es preciso que sean motivadas;Las sentencias, así como las resoluciones por las que las demandas se declaren no admisibles, no es necesario motivarlas;Las resoluciones, por las que las demandas se declaren admisibles, no es necesario motivarlas;1;La respuesta correcta es la a, ya que el Artículo 45.1 del Convenio establece que tanto las sentencias como las resoluciones de admisibilidad o inadmisibilidad deben ser motivadas. Las opciones b, c y d son incorrectas porque sugieren que el Tribunal Europeo de Derechos Humanos puede omitir la fundamentación en ciertos tipos de resoluciones.
4;Conocimientos Generales;Carta Social Europea revisada;¿Ante quién serán depositados los instrumentos de ratificación, aceptación o aprobación?;Ante el Secretario General del Consejo de Europa;Ante el Presidente del Parlamento Europeo;Ante el Presidente de la Comisión;Ante el Tribunal de Justicia de la Unión Europea;1;La respuesta correcta es la a, debido a que la Carta Social Europea revisada designa al Secretario General del Consejo de Europa como el depositario de los instrumentos de ratificación. Las opciones b, c y d son incorrectas al mencionar instituciones de la Unión Europea que no tienen esta competencia dentro del marco del Consejo de Europa.
5;Conocimientos Generales;Pacto Internacional Derechos Económicos, Sociales y Culturales;Condiciones de trabajo equitativas y satisfactorias. Señale la opción INCORRECTA.;Igual oportunidad de ser promovidos;La seguridad y la higiene en el trabajo;La percepción de ingresos extraordinarios en función de su dedicación y rendimiento profesional;La remuneración de los días festivos;3;La respuesta correcta es la c, ya que la percepción de 'ingresos extraordinarios' no figura como uno de los derechos mínimos garantizados en el Artículo 7 del Pacto Internacional de Derechos Económicos, Sociales y Culturales. Por el contrario, las opciones a, b y d se descartan por ser proposiciones correctas que el Pacto sí reconoce: promoción por capacidad, seguridad laboral y remuneración de festivos.
6;Conocimientos Generales;Pacto Internacional Derechos Civiles y Políticos;Señale la opción CORRECTA.;Todo Estado debe declarar que reconoce la competencia del Comité;El Comité establecerá su reglamento, decisiones por mayoría de tres quintos;El Comité podrá transmitir al Consejo Económico y Social los comentarios generales;Las disposiciones del Pacto aplicables a Estados federales, con limitaciones establecidas;3;"La respuesta correcta es la c, pues el Artículo 40.4 del Pacto faculta al Comité de Derechos Humanos para transmitir comentarios generales al Consejo Económico y Social. La opción a es incorrecta por dar carácter obligatorio a una declaración facultativa; la b es falsa sobre el régimen de mayorías; y la d es incorrecta sobre la aplicación en Estados federales."
7;Conocimientos Generales;Consejo de Derechos Humanos ONU;Señale la opción INCORRECTA.;Es el principal órgano intergubernamental de la ONU responsable de derechos humanos;Los escaños se distribuyen equitativamente entre los cinco grupos regionales;Cuenta con apoyo de la Oficina del Alto Comisionado;Revisa mediante el Examen Anual General;4;La respuesta correcta es la d, dado que la revisión del historial de los Estados se realiza mediante el Examen Periódico Universal y no mediante un 'Examen Anual General'. Las opciones a, b y c son correctas al definirlo como órgano principal, detallar su renovación por tercios y mencionar el apoyo de la ACNUDH.
8;Conocimientos Generales;Convención contra la tortura;Señale la opción INCORRECTA.;Se tomarán medidas para proteger a quien presente queja;Todo Estado velará por que los actos de tortura sean delitos, no aplicable a tentativa;Todo Estado velará por investigación pronta e imparcial;Todo Estado velará por reparación e indemnización;2;"La respuesta correcta es la b, ya que la proposición es incorrecta al afirmar que el precepto no se aplica a la tentativa; el Artículo 4 de la Convención exige que todos los actos de tortura, incluida la tentativa, sean delitos penales. Las opciones a, c y d son correctas según el texto de la Convención sobre protección de testigos, investigación de oficio y reparación a las víctimas."
9;Conocimientos Generales;Protocolo Facultativo Convención contra la tortura;¿A quién informará el Secretario General tras denunciar el Protocolo?;Al Comité contra la Tortura;Al Subcomité para la Prevención;A los demás Estados Parte y a la Convención;A los indicados en a) y c);3;La respuesta correcta es la c, puesto que el Artículo 33 del Protocolo Facultativo establece que el Secretario General informará a los demás Estados Parte y a la Convención tras recibir una denuncia. Aunque las opciones a y b mencionan órganos relevantes, la respuesta oficial designada es la c.
10;Conocimientos Generales;Carta Derechos Fundamentales UE;Edad mínima de admisión al trabajo. Señale la opción CORRECTA.;No inferior a 18 años;No inferior a 16 años;Excepcionalmente inferior a edad de escolaridad obligatoria;No inferior a 17 años;3;La respuesta correcta es la c, ya que la Carta de los Derechos Fundamentales de la UE prevé que la edad mínima de admisión al trabajo pueda ser, excepcionalmente, inferior a la edad de escolaridad obligatoria. Las opciones a, b y d son incorrectas porque la Carta no establece una edad fija de 16, 17 o 18 años como norma general absoluta.
